Country or region,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Generosity
Finland,7.769,1.34,0.986,0.596,0.153
Denmark,7.6,1.383,0.996,0.592,0.252
Norway,7.554,1.488,1.028,0.603,0.271
Iceland,7.494,1.38,1.026,0.591,0.354
Netherlands,7.488,1.396,0.999,0.557,0.322
Switzerland,7.48,1.452,1.052,0.572,0.263
Sweden,7.343,1.387,1.009,0.574,0.267
New Zealand,7.307,1.303,1.026,0.585,0.33
Canada,7.278,1.365,1.039,0.584,0.285
Austria,7.246,1.376,1.016,0.532,0.244
Australia,7.228,1.372,1.036,0.557,0.332
Costa Rica,7.167,1.034,0.963,0.558,0.144
Israel,7.139,1.276,1.029,0.371,0.261
Luxembourg,7.09,1.609,1.012,0.526,0.194
United Kingdom,7.054,1.333,0.996,0.45,0.348
Ireland,7.021,1.499,0.999,0.516,0.298
Germany,6.985,1.373,0.987,0.495,0.261
Belgium,6.923,1.356,0.986,0.473,0.16
United States,6.892,1.433,0.874,0.454,0.28
Czech Republic,6.852,1.269,0.92,0.457,0.046
United Arab Emirates,6.825,1.503,0.825,0.598,0.262
Malta,6.726,1.3,0.999,0.564,0.375
Mexico,6.595,1.07,0.861,0.433,0.074
France,6.592,1.324,1.045,0.436,0.111
Taiwan,6.446,1.368,0.914,0.351,0.242
Chile,6.444,1.159,0.92,0.357,0.187
Guatemala,6.436,0.8,0.746,0.535,0.175
Saudi Arabia,6.375,1.403,0.795,0.439,0.08
Qatar,6.374,1.684,0.871,0.555,0.22
Spain,6.354,1.286,1.062,0.362,0.153
Panama,6.321,1.149,0.91,0.516,0.109
Brazil,6.3,1.004,0.802,0.39,0.099
Uruguay,6.293,1.124,0.891,0.523,0.127
Singapore,6.262,1.572,1.141,0.556,0.271
El Salvador,6.253,0.794,0.789,0.43,0.093
Italy,6.223,1.294,1.039,0.231,0.158
Bahrain,6.199,1.362,0.871,0.536,0.255
Slovakia,6.198,1.246,0.881,0.334,0.121
Trinidad & Tobago,6.192,1.231,0.713,0.489,0.185
Poland,6.182,1.206,0.884,0.483,0.117
